
2026/04/04 (20:47:22) | ===> btop++ v.1.4.0
2026/04/04 (20:47:22) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/04 (22:55:49) | ===> btop++ v.1.4.0
2026/04/04 (22:55:49) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/06 (00:21:57) | ===> btop++ v.1.4.0
2026/04/06 (00:21:57) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/06 (13:55:18) | ===> btop++ v.1.4.0
2026/04/06 (13:55:18) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/06 (13:58:50) | ===> btop++ v.1.4.0
2026/04/06 (13:58:50) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/06 (13:59:17) | ===> btop++ v.1.4.0
2026/04/06 (13:59:17) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/06 (13:59:35) | ===> btop++ v.1.4.0
2026/04/06 (13:59:35) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/06 (21:34:57) | ===> btop++ v.1.4.0
2026/04/06 (21:34:57) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/08 (19:08:52) | ===> btop++ v.1.4.0
2026/04/08 (19:08:52) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/08 (19:21:36) | ===> btop++ v.1.4.0
2026/04/08 (19:21:36) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/08 (23:20:00) | ===> btop++ v.1.4.0
2026/04/08 (23:20:00) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/09 (17:19:50) | ===> btop++ v.1.4.0
2026/04/09 (17:19:50) | WARNING: Intel GPU: Failed to initialize PMU
